,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
0,2015-08-08,Bournemouth,Aston Villa,0,1,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,20.0,17.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0
1,2015-08-08,Chelsea,Swansea,2,2,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.0,8.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-7.0
2,2015-08-08,Everton,Watford,2,2,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,11.0,20.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9.0
3,2015-08-08,Leicester,Sunderland,4,2,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,14.0,16.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-2.0
4,2015-08-08,Man United,Tottenham,1,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,4.0,5.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0
5,2015-08-08,Norwich,Crystal Palace,1,3,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,20.0,10.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.0
6,2015-08-09,Arsenal,West Ham,0,2,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,3.0,12.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-9.0
7,2015-08-09,Newcastle,Southampton,2,2,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,15.0,7.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0
8,2015-08-09,Stoke,Liverpool,0,1,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,9.0,6.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0
9,2015-08-10,West Brom,Man City,0,3,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,13.0,2.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11.0
10,2015-08-14,Aston Villa,Man United,0,1,NH,1,1,0,0,1.5,1.5,W,M,M,M,W,M,M,M,17.0,4.0,2.0,WMMM,WMMM,3,3,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,13.0
11,2015-08-15,Southampton,Everton,0,3,NH,2,2,2,2,0.5,0.5,D,M,M,M,D,M,M,M,7.0,11.0,2.0,DMMM,DMMM,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-4.0
12,2015-08-15,Sunderland,Norwich,1,3,NH,2,1,4,3,0.0,0.0,L,M,M,M,L,M,M,M,16.0,20.0,2.0,LMMM,LMMM,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,-4.0
13,2015-08-15,Swansea,Newcastle,2,0,H,2,2,2,2,0.5,0.5,D,M,M,M,D,M,M,M,8.0,15.0,2.0,DMMM,DMMM,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-7.0
