,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
0,2000-08-19,Charlton,Man City,4,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,20.0,20.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,2000-08-19,Chelsea,West Ham,4,2,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,5.0,9.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-4.0
2,2000-08-19,Coventry,Middlesbrough,1,3,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,14.0,12.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0
3,2000-08-19,Derby,Southampton,2,2,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,16.0,15.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
4,2000-08-19,Leeds,Everton,2,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,3.0,13.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-10.0
5,2000-08-19,Leicester,Aston Villa,0,0,NH,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,8.0,6.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0
6,2000-08-19,Liverpool,Bradford,1,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,4.0,17.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-13.0
7,2000-08-19,Sunderland,Arsenal,1,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,7.0,2.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0
8,2000-08-19,Tottenham,Ipswich,3,1,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,10.0,20.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-10.0
9,2000-08-20,Man United,Newcastle,2,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.0,11.0,1.0,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-10.0
10,2000-08-21,Arsenal,Liverpool,2,0,H,0,1,1,0,0.0,1.5,L,M,M,M,W,M,M,M,2.0,4.0,2.0,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,-2.0
11,2000-08-22,Bradford,Chelsea,2,0,H,0,4,1,2,0.0,1.5,L,M,M,M,W,M,M,M,17.0,5.0,2.0,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-0.5,1.0,-1.5,-1.5,12.0
12,2000-08-22,Ipswich,Man United,1,1,NH,1,2,3,0,0.0,1.5,L,M,M,M,W,M,M,M,20.0,1.0,2.0,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-1.0,1.0,-1.5,-1.5,19.0
13,2000-08-22,Middlesbrough,Tottenham,1,1,NH,3,3,1,1,1.5,1.5,W,M,M,M,W,M,M,M,12.0,10.0,2.0,WMMM,WMMM,3,3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,2.0
14,2000-08-23,Everton,Charlton,3,0,H,0,4,2,0,0.0,1.5,L,M,M,M,W,M,M,M,13.0,20.0,2.0,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-1.0,2.0,-1.5,-1.5,-7.0
15,2000-08-23,Man City,Sunderland,4,2,H,0,1,4,0,0.0,1.5,L,M,M,M,W,M,M,M,20.0,7.0,2.0,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-2.0,0.5,-1.5,-1.5,13.0
16,2000-08-23,Newcastle,Derby,3,2,H,0,2,2,2,0.0,0.5,L,M,M,M,D,M,M,M,11.0,16.0,2.0,LMMM,DMMM,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5,-5.0
17,2000-08-23,Southampton,Coventry,1,2,NH,2,1,2,3,0.5,0.0,D,M,M,M,L,M,M,M,15.0,14.0,2.0,DMMM,LMMM,1,0,0,0,0,0,0,0,0,0,0.0,-1.0,0.5,0.5,1.0
18,2000-08-23,West Ham,Leicester,0,1,NH,2,0,4,0,0.0,0.5,L,M,M,M,D,M,M,M,9.0,8.0,2.0,LMMM,DMMM,0,1,0,0,0,0,0,0,0,0,-1.0,0.0,-0.5,-0.5,1.0
19,2000-08-26,Arsenal,Charlton,5,3,H,0,4,1,0,0.0,1.5,L,M,M,M,W,M,M,M,2.0,20.0,2.0,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-0.5,2.0,-1.5,-1.5,-18.0
20,2000-08-26,Bradford,Leicester,0,0,NH,2,1,1,0,1.0,1.33333333333,W,L,M,M,W,D,M,M,17.0,8.0,3.0,WLMM,WDMM,3,4,0,0,0,0,0,0,0,0,0.333333333333,0.333333333333,-0.333333333333,-0.333333333333,9.0
21,2000-08-26,Everton,Derby,2,2,NH,3,4,2,5,1.0,0.333333333333,W,L,M,M,L,D,M,M,13.0,16.0,3.0,WLMM,LDMM,3,1,0,0,0,0,0,0,0,0,0.333333333333,-0.333333333333,0.666666666667,0.666666666667,-3.0
22,2000-08-26,Ipswich,Sunderland,1,0,H,2,3,4,4,0.333333333333,1.0,D,L,M,M,L,W,M,M,20.0,7.0,3.0,DLMM,LWMM,1,3,0,0,0,0,0,0,0,0,-0.666666666667,-0.333333333333,-0.666666666667,-0.666666666667,13.0
23,2000-08-26,Man City,Coventry,1,2,NH,4,3,6,4,1.0,1.0,W,L,M,M,W,L,M,M,20.0,14.0,3.0,WLMM,WLMM,3,3,0,0,0,0,0,0,0,0,-0.666666666667,-0.333333333333,0.0,0.0,6.0
24,2000-08-26,Middlesbrough,Leeds,1,2,NH,4,4,2,1,1.33333333333,2.0,D,W,M,M,W,W,M,M,12.0,3.0,3.0,DWMM,WWMM,4,6,0,0,0,0,0,0,0,0,0.666666666667,1.0,-0.666666666667,-0.666666666667,9.0
25,2000-08-26,Newcastle,Tottenham,2,0,H,3,4,4,2,1.0,1.33333333333,W,L,M,M,D,W,M,M,11.0,10.0,3.0,WLMM,DWMM,3,4,0,0,0,0,0,0,0,0,-0.333333333333,0.666666666667,-0.333333333333,-0.333333333333,1.0
26,2000-08-26,Southampton,Liverpool,3,3,NH,3,1,4,2,0.333333333333,1.0,L,D,M,M,L,W,M,M,15.0,4.0,3.0,LDMM,LWMM,1,3,0,0,0,0,0,0,0,0,-0.333333333333,-0.333333333333,-0.666666666667,-0.666666666667,11.0
27,2000-08-26,West Ham,Man United,2,2,NH,2,3,5,1,0.0,1.33333333333,L,L,M,M,D,W,M,M,9.0,1.0,3.0,LLMM,DWMM,0,4,0,0,0,0,0,0,0,0,-1.0,0.666666666667,-1.33333333333,-1.33333333333,8.0
28,2000-08-27,Aston Villa,Chelsea,1,1,NH,1,4,1,4,0.666666666667,1.0,D,D,M,M,L,W,M,M,6.0,5.0,3.0,DDMM,LWMM,2,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.333333333333,-0.333333333333,1.0
29,2000-09-05,Leeds,Man City,1,2,NH,4,4,1,6,2.0,1.0,W,W,M,M,W,L,M,M,3.0,20.0,3.0,WWMM,WLMM,6,3,0,0,0,0,0,0,0,0,1.0,-0.666666666667,1.0,1.0,-17.0
30,2000-09-05,Man United,Bradford,6,0,H,5,2,3,1,1.25,1.0,D,D,W,M,D,W,L,M,1.0,17.0,4.0,DDWM,DWLM,5,4,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25,-16.0
31,2000-09-05,Sunderland,West Ham,1,1,NH,3,4,5,7,0.75,0.25,L,L,W,M,D,L,L,M,7.0,9.0,4.0,LLWM,DLLM,3,1,0,0,0,0,0,0,0,0,-0.5,-0.75,0.5,0.5,-2.0
32,2000-09-05,Tottenham,Everton,3,2,H,4,5,4,4,1.0,1.0,L,D,W,M,D,W,L,M,10.0,13.0,4.0,LDWM,DWLM,4,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0,-3.0
33,2000-09-06,Charlton,Southampton,1,1,NH,7,6,8,7,0.75,0.5,L,L,W,M,D,L,D,M,20.0,15.0,4.0,LLWM,DLDM,3,2,0,0,0,0,0,0,0,0,-0.25,-0.25,0.25,0.25,5.0
34,2000-09-06,Chelsea,Arsenal,2,2,NH,5,7,5,4,1.0,1.5,D,L,W,M,W,W,L,M,5.0,2.0,4.0,DLWM,WWLM,4,6,0,0,0,0,0,0,0,0,0.0,0.75,-0.5,-0.5,3.0
