,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,B365H,BWH,IWH,LBH,WHH,B365D,BWD,IWD,LBD,WHD,B365A,BWA,IWA,LBA,WHA,HomeTeamLP,AwayTeamLP,MW,ENTROPY_B365,ENTROPY_BW,ENTROPY_IW,ENTROPY_LB,ENTROPY_WH,ENTROPY_H,ENTROPY_D,ENTROPY_A,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
0,2006-09-09,Fiorentina,Inter,2,3,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,3.25,3.05,3.0,2.8,2.8,3.0,2.85,2.8,2.87,2.87,2.3,2.4,2.4,2.37,2.4,9.0,1.0,1.0,1.0871949452353709,1.0933828345427354,1.0941604621113221,1.094873138487833,1.095380865709737,1.6078708951752558,1.609182447995296,1.6092999428082813,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0
1,2006-09-09,Roma,Livorno,2,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.44,1.44,1.45,1.5,1.44,3.75,3.7,3.6,3.25,3.25,8.5,7.5,7.0,6.5,8.0,2.0,6.0,1.0,0.8706736694903889,0.8908412749836014,0.9062612358471805,0.9369181202504688,0.896709311759661,1.6093139291887821,1.6074562554822174,1.6049259049557734,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-4.0
2,2006-09-10,Atalanta,Ascoli,3,1,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.83,1.8,1.85,1.8,1.9,3.0,3.0,3.0,3.0,3.0,5.0,4.75,4.2,4.33,3.75,22.0,10.0,1.0,1.0198374477009686,1.0232562779733496,1.0417912012621757,1.0340496585496144,1.0569572207055582,1.6092370305018386,1.6094379124341005,1.6043677347505052,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12.0
3,2006-09-10,Cagliari,Catania,0,1,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.72,1.75,1.8,1.66,1.8,3.1,3.1,3.0,3.1,3.0,5.5,4.9,4.4,5.0,4.2,14.0,22.0,1.0,0.9942961631961917,1.0125157974360643,1.0322357094337062,0.9997089618828953,1.037427674775759,1.608969810066435,1.6093083430326378,1.604872419484807,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-8.0
4,2006-09-10,Chievo,Siena,1,2,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.72,1.7,1.75,1.72,1.72,3.1,3.2,3.1,2.87,3.1,5.5,5.05,4.5,5.0,4.5,4.0,15.0,1.0,0.9942961631961917,1.0009220281638074,1.0228408578313308,1.0111816677259013,1.0196771287906385,1.6093951010734147,1.6087676924872167,1.6065553861306823,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11.0
5,2006-09-10,Messina,Udinese,1,0,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,2.8,2.95,2.7,2.75,2.62,3.0,2.85,2.9,2.8,2.9,2.6,2.45,2.6,2.5,2.5,17.0,11.0,1.0,1.0969043557419367,1.0952609611834,1.0975988211253662,1.097351106029479,1.0967292117222378,1.6086625606634164,1.609177852150404,1.6091577722155495,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0
6,2006-09-10,Milan,Lazio,2,1,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.44,1.4,1.45,1.44,1.4,3.75,3.8,3.6,3.6,3.6,8.5,8.25,7.0,6.5,7.5,3.0,16.0,1.0,0.8706736694903889,0.8654270862797055,0.9062612358471805,0.9153170127054109,0.8865810994751208,1.6093228943558282,1.6091612923468306,1.6044132911463667,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-13.0
7,2006-09-10,Palermo,Reggina,4,3,H,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.44,1.4,1.5,1.44,1.5,3.75,3.7,3.5,3.6,3.4,8.5,8.75,6.3,6.5,6.0,5.0,13.0,1.0,0.8706736694903889,0.8603657268422816,0.9337142914783176,0.9153170127054109,0.9438271522693755,1.609082112819984,1.6087926416938434,1.5973789025730993,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-8.0
8,2006-09-10,Sampdoria,Empoli,1,2,A,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,1.57,1.55,1.6,1.61,1.6,3.4,3.3,3.4,3.0,3.0,7.0,6.7,5.2,6.0,6.0,12.0,8.0,1.0,0.9328601971547643,0.9389829556286724,0.979058633502591,0.97117492515659,0.9698567625061291,1.6093363817004276,1.6077687470636,1.6039804424905135,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9,2006-09-10,Torino,Parma,1,1,D,0,0,0,0,0.0,0.0,M,M,M,M,M,M,M,M,2.0,1.85,2.0,1.9,1.95,3.2,3.1,2.9,3.0,3.0,3.75,4.3,3.7,3.75,3.6,22.0,7.0,1.0,1.0607696254675385,1.0375583313150898,1.0660946534399702,1.0569572207055582,1.063950723588981,1.6089773544740158,1.6088823862523887,1.6076177008710477,MMMM,MMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15.0
10,2006-09-16,Inter,Sampdoria,1,1,D,3,1,2,2,1.5,0.0,W,M,M,M,L,M,M,M,1.28,1.25,1.3,1.25,1.25,4.75,5.0,4.4,4.5,4.5,11.0,10.0,8.5,10.0,10.0,1.0,12.0,2.0,0.7618960177193217,0.7595473914748635,0.8174393755482214,0.7774014352941131,0.7774014352941131,1.609308023698432,1.6083825847978626,1.6058466297888319,WMMM,LMMM,3,0,0,0,0,0,0,0,0,0,0.5,-0.5,1.5,1.5,-11.0
11,2006-09-16,Reggina,Cagliari,2,1,H,3,0,4,1,0.0,0.0,L,M,M,M,L,M,M,M,2.25,2.3,2.3,2.1,2.3,3.1,3.15,3.1,3.0,3.0,3.2,2.9,2.8,3.2,2.8,13.0,14.0,2.0,1.085174453749409,1.0894169268705864,1.0907514572107764,1.0803472543206822,1.0920642833699374,1.6087981902927884,1.6092461633397024,1.6075991972783958,LMMM,LMMM,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,-1.0
12,2006-09-17,Ascoli,Messina,1,1,D,1,1,3,0,0.0,1.5,L,M,M,M,W,M,M,M,2.25,2.25,2.2,2.1,2.1,3.0,2.85,2.9,3.0,3.0,3.3,3.3,3.2,3.2,3.2,10.0,17.0,2.0,1.084744583334224,1.0859231166086152,1.0854887512090026,1.0803472543206822,1.0803472543206822,1.608948324072706,1.609203073371161,1.609324762988578,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-1.0,0.5,-1.5,-1.5,-7.0
13,2006-09-17,Catania,Atalanta,0,0,D,1,3,0,1,1.5,1.5,W,M,M,M,W,M,M,M,2.25,2.33,2.2,2.2,2.25,3.0,2.85,2.8,3.0,2.87,3.3,3.15,3.3,3.0,3.0,22.0,22.0,2.0,1.084744583334224,1.0905462483435489,1.084548407829626,1.0872841553983514,1.0902342475079774,1.6092190778660092,1.6090455739649308,1.608529716246503,WMMM,WMMM,3,3,0,0,0,0,0,0,0,0,0.5,1.0,0.0,0.0,0.0
