,date,HomeTeam,AwayTeam,team,coordinate,score
0,2016-08-20,Roma,Udinese,away,81.8182,7.1
1,2016-08-20,Roma,Udinese,away,63.6364,6.7
2,2016-08-20,Roma,Udinese,away,40.9091,6.3
3,2016-08-20,Roma,Udinese,away,40.9091,6.4
4,2016-08-20,Roma,Udinese,away,40.9091,6.0
5,2016-08-20,Roma,Udinese,away,40.9091,5.9
6,2016-08-20,Roma,Udinese,away,40.9091,6.0
7,2016-08-20,Roma,Udinese,away,18.1818,6.7
8,2016-08-20,Roma,Udinese,away,18.1818,5.9
9,2016-08-20,Roma,Udinese,away,18.1818,5.3
10,2016-08-20,Roma,Udinese,away,0,6.6
11,2016-08-20,Roma,Udinese,home,77.2727,6.6
12,2016-08-20,Roma,Udinese,home,77.2727,8.9
13,2016-08-20,Roma,Udinese,home,77.2727,9.4
14,2016-08-20,Roma,Udinese,home,50,7.4
15,2016-08-20,Roma,Udinese,home,50,7.2
16,2016-08-20,Roma,Udinese,home,50,7.8
17,2016-08-20,Roma,Udinese,home,22.7273,7.4
18,2016-08-20,Roma,Udinese,home,22.7273,7.3
19,2016-08-20,Roma,Udinese,home,22.7273,7.5
20,2016-08-20,Roma,Udinese,home,22.7273,7.6
21,2016-08-20,Roma,Udinese,home,0,7.1
22,2016-08-20,Juventus,Fiorentina,away,77.2727,6.9
23,2016-08-20,Juventus,Fiorentina,away,77.2727,7.1
24,2016-08-20,Juventus,Fiorentina,away,77.2727,6.3
25,2016-08-20,Juventus,Fiorentina,away,50,6.2
26,2016-08-20,Juventus,Fiorentina,away,50,6.7
27,2016-08-20,Juventus,Fiorentina,away,50,7.2
28,2016-08-20,Juventus,Fiorentina,away,50,6.4
29,2016-08-20,Juventus,Fiorentina,away,22.7273,5.8
30,2016-08-20,Juventus,Fiorentina,away,22.7273,6.1
31,2016-08-20,Juventus,Fiorentina,away,22.7273,6.5
32,2016-08-20,Juventus,Fiorentina,away,0,5.8
33,2016-08-20,Juventus,Fiorentina,home,81.8182,6.7
34,2016-08-20,Juventus,Fiorentina,home,81.8182,6.7
35,2016-08-20,Juventus,Fiorentina,home,54.5455,7.0
36,2016-08-20,Juventus,Fiorentina,home,54.5455,7.7
37,2016-08-20,Juventus,Fiorentina,home,54.5455,7.4
38,2016-08-20,Juventus,Fiorentina,home,54.5455,7.8
39,2016-08-20,Juventus,Fiorentina,home,54.5455,7.1
40,2016-08-20,Juventus,Fiorentina,home,22.7273,6.5
41,2016-08-20,Juventus,Fiorentina,home,22.7273,6.5
42,2016-08-20,Juventus,Fiorentina,home,22.7273,7.0
43,2016-08-20,Juventus,Fiorentina,home,0,5.9
44,2016-08-21,AC Milan,Torino,away,77.2727,6.3
45,2016-08-21,AC Milan,Torino,away,77.2727,7.4
46,2016-08-21,AC Milan,Torino,away,77.2727,6.7
47,2016-08-21,AC Milan,Torino,away,50,6.3
48,2016-08-21,AC Milan,Torino,away,50,6.5
49,2016-08-21,AC Milan,Torino,away,50,6.4
50,2016-08-21,AC Milan,Torino,away,22.7273,7.0
51,2016-08-21,AC Milan,Torino,away,22.7273,7.0
52,2016-08-21,AC Milan,Torino,away,22.7273,6.3
53,2016-08-21,AC Milan,Torino,away,22.7273,6.6
54,2016-08-21,AC Milan,Torino,away,0,6.4
55,2016-08-21,AC Milan,Torino,home,77.2727,7.3
56,2016-08-21,AC Milan,Torino,home,77.2727,8.9
57,2016-08-21,AC Milan,Torino,home,77.2727,6.8
58,2016-08-21,AC Milan,Torino,home,50,7.1
59,2016-08-21,AC Milan,Torino,home,50,7.2
60,2016-08-21,AC Milan,Torino,home,50,7.1
61,2016-08-21,AC Milan,Torino,home,22.7273,7.0
62,2016-08-21,AC Milan,Torino,home,22.7273,4.6
63,2016-08-21,AC Milan,Torino,home,22.7273,6.8
64,2016-08-21,AC Milan,Torino,home,22.7273,7.5
65,2016-08-21,AC Milan,Torino,home,0,7.2
66,2016-08-21,Palermo,Sassuolo,away,77.2727,7.8
67,2016-08-21,Palermo,Sassuolo,away,77.2727,6.5
68,2016-08-21,Palermo,Sassuolo,away,77.2727,8.2
69,2016-08-21,Palermo,Sassuolo,away,50,7.3
70,2016-08-21,Palermo,Sassuolo,away,50,6.8
71,2016-08-21,Palermo,Sassuolo,away,50,7.2
72,2016-08-21,Palermo,Sassuolo,away,22.7273,7.2
73,2016-08-21,Palermo,Sassuolo,away,22.7273,7.2
74,2016-08-21,Palermo,Sassuolo,away,22.7273,7.9
75,2016-08-21,Palermo,Sassuolo,away,22.7273,7.1
76,2016-08-21,Palermo,Sassuolo,away,0,6.9
77,2016-08-21,Palermo,Sassuolo,home,77.2727,5.9
78,2016-08-21,Palermo,Sassuolo,home,77.2727,6.5
79,2016-08-21,Palermo,Sassuolo,home,77.2727,6.6
80,2016-08-21,Palermo,Sassuolo,home,50,7.2
81,2016-08-21,Palermo,Sassuolo,home,50,6.7
82,2016-08-21,Palermo,Sassuolo,home,50,7.2
83,2016-08-21,Palermo,Sassuolo,home,50,7.3
84,2016-08-21,Palermo,Sassuolo,home,22.7273,5.0
85,2016-08-21,Palermo,Sassuolo,home,22.7273,7.8
86,2016-08-21,Palermo,Sassuolo,home,22.7273,7.3
87,2016-08-21,Palermo,Sassuolo,home,0,7.6
88,2016-08-21,Pescara,Napoli,away,77.2727,6.5
89,2016-08-21,Pescara,Napoli,away,77.2727,5.9
90,2016-08-21,Pescara,Napoli,away,77.2727,6.9
91,2016-08-21,Pescara,Napoli,away,50,7.0
92,2016-08-21,Pescara,Napoli,away,50,7.1
93,2016-08-21,Pescara,Napoli,away,50,7.0
94,2016-08-21,Pescara,Napoli,away,22.7273,7.3
95,2016-08-21,Pescara,Napoli,away,22.7273,6.2
96,2016-08-21,Pescara,Napoli,away,22.7273,7.0
97,2016-08-21,Pescara,Napoli,away,22.7273,7.4
98,2016-08-21,Pescara,Napoli,away,0,6.0
99,2016-08-21,Pescara,Napoli,home,81.8182,7.1
100,2016-08-21,Pescara,Napoli,home,63.6364,7.1
101,2016-08-21,Pescara,Napoli,home,63.6364,7.6
102,2016-08-21,Pescara,Napoli,home,45.4545,6.6
103,2016-08-21,Pescara,Napoli,home,45.4545,6.7
104,2016-08-21,Pescara,Napoli,home,45.4545,6.1
105,2016-08-21,Pescara,Napoli,home,22.7273,6.7
106,2016-08-21,Pescara,Napoli,home,22.7273,6.8
107,2016-08-21,Pescara,Napoli,home,22.7273,5.4
108,2016-08-21,Pescara,Napoli,home,22.7273,7.5
109,2016-08-21,Pescara,Napoli,home,0,6.5
110,2016-08-21,Atalanta,Lazio,away,77.2727,6.9
111,2016-08-21,Atalanta,Lazio,away,77.2727,7.3
112,2016-08-21,Atalanta,Lazio,away,77.2727,7.8
113,2016-08-21,Atalanta,Lazio,away,50,7.8
114,2016-08-21,Atalanta,Lazio,away,50,6.9
115,2016-08-21,Atalanta,Lazio,away,50,8.1
116,2016-08-21,Atalanta,Lazio,away,22.7273,6.4
117,2016-08-21,Atalanta,Lazio,away,22.7273,6.0
118,2016-08-21,Atalanta,Lazio,away,22.7273,7.9
119,2016-08-21,Atalanta,Lazio,away,22.7273,7.0
120,2016-08-21,Atalanta,Lazio,away,0,5.6
121,2016-08-21,Atalanta,Lazio,home,77.2727,7.2
122,2016-08-21,Atalanta,Lazio,home,77.2727,6.6
123,2016-08-21,Atalanta,Lazio,home,77.2727,6.0
124,2016-08-21,Atalanta,Lazio,home,50,8.4
125,2016-08-21,Atalanta,Lazio,home,50,6.5
126,2016-08-21,Atalanta,Lazio,home,50,6.2
127,2016-08-21,Atalanta,Lazio,home,50,7.3
128,2016-08-21,Atalanta,Lazio,home,22.7273,5.9
129,2016-08-21,Atalanta,Lazio,home,22.7273,7.0
130,2016-08-21,Atalanta,Lazio,home,22.7273,6.1
131,2016-08-21,Atalanta,Lazio,home,0,4.9
132,2016-08-21,Bologna,Crotone,away,77.2727,6.6
133,2016-08-21,Bologna,Crotone,away,77.2727,5.9
134,2016-08-21,Bologna,Crotone,away,77.2727,6.1
135,2016-08-21,Bologna,Crotone,away,50,6.9
136,2016-08-21,Bologna,Crotone,away,50,6.6
137,2016-08-21,Bologna,Crotone,away,50,6.4
138,2016-08-21,Bologna,Crotone,away,50,6.4
